surgery,Age,rectal_temperature,pulse,respiratory_rate,temp_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,outcome,surgical_lesion
b'yes',b'adult',,64,36,b'warm',b'?',b'bright pink',b'<3',b'continuous severe pain',b'hypomotile',b'moderate',b'slight',b'>1l',,b'?',b'?',42,7.7,b'?',,b'died',b'yes'
b'yes',b'adult',,,20,b'cold',b'reduced',b'pale pink',b'?',b'continuous severe pain',b'absent',b'moderate',b'slight',b'?',,b'absent',b'distended small intestine',53,5.9,b'serosanguinous',,b'died',b'yes'
b'no',b'adult',,96,,b'cool',b'reduced',b'pale pink',b'>=3',b'continuous severe pain',b'absent',b'severe',b'none',b'>1l',,b'absent',b'distended large intestine',60,,b'?',,b'died',b'yes'
b'no',b'adult',37.8,48,32,b'normal',b'normal',b'pale pink',b'<3',b'depressed',b'hypermotile',b'?',b'none',b'none',,b'absent',b'distended large intestine',37,6.7,b'?',,b'lived',b'no'
b'no',b'adult',38.5,60,,b'warm',b'increased',b'normal pink',b'<3',b'alert no pain',b'normal',b'slight',b'slight',b'none',,b'normal',b'normal',44,7.7,b'?',,b'lived',b'no'
b'yes',b'adult',37.8,88,22,b'warm',b'normal',b'bright pink',b'<3',b'intermittent mild pain',b'?',b'?',b'slight',b'?',,b'absent',b'?',64,8,b'clear',6,b'died',b'yes'
b'no',b'adult',38.2,130,16,b'cold',b'reduced',b'pale cyanotic',b'>=3',b'depressed',b'absent',b'severe',b'none',b'none',,b'?',b'?',65,82,b'cloudy',2,b'euthanized',b'no'
b'yes',b'adult',39,64,36,b'cool',b'normal',b'pale cyanotic',b'>=3',b'intermittent mild pain',b'hypomotile',b'slight',b'none',b'>1l',7,b'absent',b'distended large intestine',44,7.5,b'serosanguinous',5,b'lived',b'yes'
b'yes',b'adult',,60,36,b'cool',b'normal',b'pale pink',b'<3',b'intermittent mild pain',b'hypomotile',b'slight',b'none',b'none',,b'decreased',b'distended small intestine',26,72,b'cloudy',1,b'lived',b'yes'
b'no',b'adult',37.9,72,,b'normal',b'normal',b'bright red',b'>=3',b'intermittent mild pain',b'hypomotile',b'none',b'none',b'<1l',2,b'decreased',b'distended small intestine',58,74,b'clear',2,b'lived',b'yes'
b'no',b'adult',38.4,54,24,b'normal',b'normal',b'normal pink',b'<3',b'alert no pain',b'hypomotile',b'none',b'slight',b'none',,b'decreased',b'other',49,7.2,b'clear',,b'lived',b'no'
b'no',b'adult',,52,16,b'normal',b'?',b'pale pink',b'<3',b'?',b'?',b'?',b'slight',b'<1l',5.5,b'?',b'?',55,7.2,b'?',,b'lived',b'no'
b'no',b'adult',38,48,12,b'normal',b'normal',b'normal pink',b'<3',b'alert no pain',b'hypomotile',b'?',b'none',b'none',,b'decreased',b'other',42,6.3,b'cloudy',4.1,b'lived',b'no'
b'no',b'adult',37,60,20,b'cool',b'?',b'?',b'<3',b'intermittent mild pain',b'?',b'moderate',b'slight',b'>1l',4.5,b'absent',b'distended small intestine',43,7.6,b'?',,b'euthanized',b'yes'
b'yes',b'adult',37.8,48,28,b'normal',b'normal',b'normal pink',b'<3',b'alert no pain',b'normal',b'none',b'slight',b'?',,b'normal',b'normal',46,5.9,b'cloudy',7,b'lived',b'no'
b'yes',b'adult',37.7,56,,b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',,,b'?',,b'died',b'yes'
b'yes',b'adult',38.1,52,24,b'normal',b'normal',b'bright red',b'<3',b'intermittent severe pain',b'hypomotile',b'none',b'slight',b'<1l',7,b'normal',b'?',54,7.5,b'cloudy',2.6,b'died',b'yes'
b'yes',b'young',,,,b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',37,4.9,b'?',,b'died',b'yes'
b'yes',b'young',39.7,100,,b'cool',b'reduced',b'bright red',b'>=3',b'depressed',b'hypomotile',b'?',b'?',b'?',,b'?',b'?',48,57,b'cloudy',2,b'euthanized',b'yes'
b'yes',b'adult',37.6,38,20,b'cool',b'reduced',b'normal pink',b'<3',b'intermittent mild pain',b'hypomotile',b'slight',b'?',b'?',,b'decreased',b'?',37,68,b'?',,b'lived',b'yes'
b'no',b'adult',38.7,52,20,b'warm',b'?',b'normal pink',b'<3',b'alert no pain',b'hypermotile',b'none',b'none',b'none',,b'normal',b'normal',33,77,b'?',,b'lived',b'no'
b'yes',b'adult',,,,b'cool',b'reduced',b'pale pink',b'meaning unknown',b'continuous severe pain',b'hypomotile',b'moderate',b'significant',b'>1l',,b'absent',b'distended large intestine',46,5.9,b'?',,b'died',b'yes'
b'yes',b'adult',37.5,96,18,b'normal',b'reduced',b'dark cyanotic',b'>=3',b'intermittent mild pain',b'absent',b'slight',b'slight',b'<1l',5,b'?',b'distended small intestine',69,8.9,b'serosanguinous',,b'lived',b'yes'
b'yes',b'adult',36.4,98,35,b'cool',b'reduced',b'pale cyanotic',b'<3',b'intermittent severe pain',b'hypomotile',b'slight',b'?',b'?',,b'absent',b'distended small intestine',47,6.4,b'serosanguinous',3.6,b'died',b'yes'
b'yes',b'adult',37.3,40,,b'?',b'reduced',b'normal pink',b'<3',b'depressed',b'hypomotile',b'slight',b'significant',b'none',,b'decreased',b'distended large intestine',36,,b'serosanguinous',2,b'lived',b'yes'
b'yes',b'young',38.1,100,80,b'cool',b'normal',b'bright pink',b'<3',b'intermittent mild pain',b'absent',b'none',b'?',b'?',,b'normal',b'?',36,5.7,b'?',,b'lived',b'yes'
b'yes',b'adult',38,,24,b'cool',b'reduced',b'dark cyanotic',b'>=3',b'continuous severe pain',b'?',b'severe',b'none',b'none',,b'?',b'?',68,7.8,b'?',,b'died',b'yes'
b'yes',b'adult',37.8,60,80,b'normal',b'reduced',b'bright pink',b'>=3',b'depressed',b'hypomotile',b'moderate',b'?',b'>1l',5.5,b'absent',b'?',40,4.5,b'cloudy',,b'lived',b'yes'
b'no',b'adult',38,54,30,b'warm',b'reduced',b'pale pink',b'meaning unknown',b'intermittent mild pain',b'hypermotile',b'slight',b'slight',b'>1l',,b'?',b'distended small intestine',45,6.2,b'?',,b'lived',b'no'
b'yes',b'adult',,88,40,b'cool',b'reduced',b'pale cyanotic',b'>=3',b'continuous severe pain',b'absent',b'moderate',b'significant',b'?',,b'absent',b'distended large intestine',50,7.7,b'serosanguinous',1.4,b'died',b'yes'
b'no',b'adult',,40,16,b'?',b'?',b'?',b'<3',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',50,7,b'cloudy',3.9,b'euthanized',b'yes'
b'no',b'adult',39,64,40,b'normal',b'normal',b'bright red',b'<3',b'intermittent mild pain',b'hypomotile',b'slight',b'slight',b'none',,b'decreased',b'firm feces in large intestine',42,7.5,b'cloudy',2.3,b'lived',b'no'
b'no',b'adult',38.3,42,10,b'normal',b'normal',b'normal pink',b'<3',b'alert no pain',b'hypermotile',b'none',b'?',b'?',,b'?',b'?',38,61,b'?',,b'lived',b'no'
b'no',b'adult',38,52,16,b'?',b'?',b'?',b'?',b'depressed',b'?',b'?',b'?',b'<1l',1,b'normal',b'normal',53,86,b'?',,b'lived',b'yes'
b'no',b'adult',40.3,114,36,b'cool',b'reduced',b'normal pink',b'>=3',b'depressed',b'hypomotile',b'moderate',b'slight',b'none',7,b'normal',b'distended large intestine',57,8.1,b'serosanguinous',4.5,b'died',b'yes'
b'no',b'adult',38.8,50,20,b'cool',b'normal',b'normal pink',b'<3',b'alert no pain',b'hypermotile',b'none',b'slight',b'none',,b'decreased',b'normal',42,6.2,b'?',,b'lived',b'no'
b'no',b'adult',,,,b'cool',b'reduced',b'normal pink',b'<3',b'continuous severe pain',b'hypomotile',b'moderate',b'none',b'none',,b'absent',b'distended large intestine',38,6.5,b'?',,b'died',b'yes'
b'no',b'adult',37.5,48,30,b'cold',b'normal',b'pale pink',b'<3',b'?',b'normal',b'none',b'none',b'none',,b'normal',b'normal',48,8.6,b'?',,b'lived',b'no'
b'yes',b'adult',37.3,48,20,b'?',b'normal',b'bright pink',b'<3',b'intermittent mild pain',b'hypomotile',b'moderate',b'slight',b'none',,b'decreased',b'distended large intestine',41,69,b'?',,b'lived',b'yes'
b'no',b'adult',,84,36,b'?',b'?',b'pale pink',b'<3',b'?',b'hypomotile',b'none',b'slight',b'none',,b'decreased',b'other',44,8.5,b'?',,b'lived',b'yes'
b'yes',b'adult',38.1,88,32,b'cool',b'reduced',b'pale cyanotic',b'<3',b'depressed',b'hypomotile',b'moderate',b'?',b'<1l',1,b'absent',b'distended large intestine',55,60,b'?',,b'euthanized',b'no'
b'no',b'adult',37.7,44,40,b'warm',b'normal',b'pale pink',b'<3',b'alert no pain',b'hypomotile',b'slight',b'none',b'none',,b'normal',b'distended large intestine',41,60,b'?',,b'lived',b'no'
b'no',b'adult',39.6,108,51,b'cool',b'reduced',b'dark cyanotic',b'>=3',b'depressed',b'absent',b'moderate',b'none',b'>1l',,b'decreased',b'distended large intestine',59,8,b'cloudy',2.6,b'lived',b'no'
b'yes',b'adult',38.2,40,16,b'cool',b'reduced',b'normal pink',b'<3',b'alert no pain',b'hypomotile',b'?',b'?',b'?',,b'normal',b'normal',34,66,b'?',,b'lived',b'no'
b'yes',b'adult',,60,20,b'cold',b'reduced',b'pale cyanotic',b'>=3',b'continuous severe pain',b'absent',b'?',b'?',b'none',,b'absent',b'distended large intestine',,,b'?',,b'euthanized',b'yes'
b'no',b'adult',38.3,40,16,b'cool',b'?',b'normal pink',b'<3',b'depressed',b'?',b'?',b'?',b'?',,b'?',b'?',37,57,b'?',,b'lived',b'no'
b'yes',b'young',38,140,68,b'normal',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypomotile',b'slight',b'?',b'?',,b'increased',b'normal',39,5.3,b'?',,b'lived',b'yes'
b'yes',b'adult',37.8,52,24,b'normal',b'reduced',b'pale pink',b'<3',b'intermittent severe pain',b'absent',b'none',b'slight',b'<1l',5.7,b'increased',b'distended large intestine',48,6.6,b'clear',3.7,b'died',b'yes'
b'yes',b'adult',,70,36,b'normal',b'?',b'pale pink',b'>=3',b'depressed',b'hypomotile',b'slight',b'slight',b'?',,b'absent',b'distended large intestine',36,7.3,b'?',,b'lived',b'yes'
b'yes',b'adult',38.3,52,96,b'?',b'reduced',b'pale pink',b'<3',b'?',b'?',b'?',b'none',b'none',,b'normal',b'?',43,6.1,b'?',,b'lived',b'yes'
b'no',b'adult',37.3,50,32,b'normal',b'normal',b'pale pink',b'<3',b'alert no pain',b'hypomotile',b'slight',b'?',b'?',,b'normal',b'?',44,7,b'?',,b'lived',b'no'
b'yes',b'adult',38.7,60,32,b'cold',b'reduced',b'bright pink',b'>=3',b'intermittent severe pain',b'absent',b'severe',b'?',b'?',,b'absent',b'distended large intestine',53,64,b'serosanguinous',2,b'euthanized',b'yes'
b'yes',b'young',38.4,84,40,b'cool',b'reduced',b'bright pink',b'<3',b'intermittent mild pain',b'hypomotile',b'moderate',b'none',b'none',,b'?',b'?',36,6.6,b'cloudy',2.8,b'died',b'yes'
b'yes',b'adult',,70,16,b'cool',b'absent',b'bright red',b'>=3',b'depressed',b'hypomotile',b'slight',b'slight',b'none',,b'absent',b'distended large intestine',60,7.5,b'?',,b'died',b'yes'
b'yes',b'adult',38.3,40,16,b'cool',b'?',b'?',b'<3',b'alert no pain',b'hypomotile',b'slight',b'?',b'?',,b'?',b'?',38,58,b'clear',2,b'lived',b'yes'
b'yes',b'adult',,40,,b'warm',b'normal',b'normal pink',b'<3',b'alert no pain',b'hypomotile',b'none',b'none',b'none',,b'?',b'distended large intestine',39,56,b'?',,b'lived',b'yes'
b'yes',b'adult',36.8,60,28,b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',,,b'?',10,b'died',b'yes'
b'yes',b'adult',38.4,44,24,b'cool',b'?',b'pale cyanotic',b'?',b'continuous severe pain',b'absent',b'moderate',b'slight',b'none',,b'absent',b'distended large intestine',50,77,b'?',,b'lived',b'yes'
b'no',b'adult',,,40,b'cool',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypomotile',b'slight',b'?',b'?',,b'?',b'?',45,70,b'?',,b'lived',b'no'
b'yes',b'adult',38,44,12,b'normal',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypomotile',b'moderate',b'slight',b'none',,b'absent',b'distended large intestine',42,65,b'?',,b'lived',b'yes'
b'no',b'adult',39.5,,,b'cool',b'reduced',b'pale cyanotic',b'>=3',b'intermittent mild pain',b'absent',b'moderate',b'?',b'<1l',5.5,b'absent',b'distended large intestine',,6.7,b'clear',,b'euthanized',b'yes'
b'yes',b'adult',36.5,78,30,b'normal',b'?',b'normal pink',b'<3',b'continuous severe pain',b'hypomotile',b'none',b'?',b'none',,b'?',b'?',34,75,b'cloudy',1,b'lived',b'yes'
b'no',b'adult',38.1,56,20,b'warm',b'normal',b'bright pink',b'<3',b'alert no pain',b'hypomotile',b'none',b'none',b'none',,b'?',b'?',46,70,b'?',,b'lived',b'no'
b'yes',b'adult',39.4,54,66,b'normal',b'normal',b'bright pink',b'<3',b'depressed',b'hypomotile',b'slight',b'none',b'none',,b'decreased',b'distended small intestine',39,6,b'cloudy',,b'lived',b'yes'
b'yes',b'adult',38.3,80,40,b'?',b'?',b'dark cyanotic',b'>=3',b'intermittent severe pain',b'hypomotile',b'none',b'?',b'>1l',,b'normal',b'distended small intestine',67,10.2,b'cloudy',1,b'euthanized',b'yes'
b'no',b'adult',38.7,40,28,b'warm',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypermotile',b'none',b'?',b'?',,b'normal',b'?',39,62,b'clear',1,b'lived',b'no'
b'yes',b'adult',38.2,64,24,b'normal',b'normal',b'pale pink',b'<3',b'intermittent severe pain',b'absent',b'moderate',b'slight',b'none',,b'absent',b'distended small intestine',45,7.5,b'clear',2,b'died',b'yes'
b'no',b'adult',37.6,48,20,b'cool',b'normal',b'pale cyanotic',b'<3',b'alert no pain',b'hypermotile',b'moderate',b'slight',b'none',,b'normal',b'normal',37,5.5,b'?',,b'euthanized',b'yes'
b'yes',b'adult',38,42,68,b'cold',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypomotile',b'slight',b'slight',b'>1l',,b'absent',b'distended small intestine',41,7.6,b'?',,b'lived',b'yes'
b'yes',b'adult',38.7,,,b'cool',b'normal',b'pale pink',b'<3',b'continuous severe pain',b'absent',b'slight',b'?',b'?',,b'?',b'?',33,6.5,b'cloudy',,b'lived',b'yes'
b'yes',b'adult',37.4,50,32,b'cool',b'reduced',b'?',b'<3',b'intermittent severe pain',b'absent',b'none',b'slight',b'none',,b'normal',b'?',45,7.9,b'cloudy',1,b'lived',b'yes'
b'yes',b'adult',37.4,84,20,b'?',b'?',b'pale pink',b'<3',b'depressed',b'hypomotile',b'moderate',b'?',b'?',,b'?',b'?',31,61,b'?',1,b'euthanized',b'no'
b'yes',b'adult',38.4,49,,b'?',b'?',b'normal pink',b'<3',b'?',b'?',b'none',b'slight',b'none',,b'?',b'?',44,7.6,b'?',,b'lived',b'yes'
b'yes',b'adult',37.8,30,12,b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',,,b'?',,b'died',b'yes'
b'no',b'adult',37.6,88,36,b'cool',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypomotile',b'slight',b'none',b'<1l',1.5,b'?',b'?',44,6,b'?',,b'died',b'yes'
b'?',b'adult',38,48,20,b'cool',b'normal',b'pale pink',b'<3',b'intermittent severe pain',b'hypomotile',b'none',b'slight',b'none',,b'decreased',b'distended large intestine',43,73,b'cloudy',1,b'?',b'yes'
